,Unnamed: 0.1,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
23,9,9,0.94888115,0.8681266,0.8680556,0.8680492,1.2327349,144.0,0.003926655,2,session_T,22,2,001-2014,FgMDM
24,10,10,0.9664352,0.9,0.8888889,0.8881119,0.3923869,144.0,0.0011931426,2,session_E,22,2,001-2014,MDM
25,11,11,0.9834105,0.9447876,0.9444444,0.94443375,0.7919252,144.0,0.0023278203,2,session_T,22,2,001-2014,MDM
26,12,12,0.9510031,0.76086956,0.5416667,0.41978022,0.8090911,144.0,0.0023214375,2,session_E,22,2,001-2014,TANG+SVM
27,13,13,0.97260803,0.9030888,0.9027778,0.902759,1.5952537,144.0,0.004580279,2,session_T,22,2,001-2014,TANG+SVM
28,0,0,0.9861111,0.94167477,0.9375,0.93735194,113.555305,144.0,0.5723933,3,session_E,22,2,001-2014,ACM+MDM(Grid)
29,1,1,0.96875,0.8768517,0.8680556,0.8672811,204.98485,144.0,1.0389122,3,session_T,22,2,001-2014,ACM+MDM(Grid)
30,2,2,0.9974923,0.9556962,0.9513889,0.95127374,0.6949754,144.0,0.0028893335,3,session_E,22,2,001-2014,Cov+EN
31,3,3,0.9855324,0.89653814,0.8888889,0.8883504,1.37549,144.0,0.0057318853,3,session_T,22,2,001-2014,Cov+EN
32,4,4,0.99633485,0.95357627,0.9513889,0.9513302,2.2266152,144.0,0.010490893,3,session_E,22,2,001-2014,CSP+LDA
33,5,5,0.99209106,0.9,0.875,0.8730159,2.9155188,144.0,0.013430283,3,session_T,22,2,001-2014,CSP+LDA
34,6,6,0.99691355,0.9285714,0.9166667,0.91608393,544.0084,144.0,2.8409612,3,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
35,7,7,0.99575615,0.9285714,0.9166667,0.91608393,1122.4242,144.0,5.867599,3,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
36,8,8,0.998071,0.93373495,0.9236111,0.92316276,0.5757685,144.0,0.0026957924,3,session_E,22,2,001-2014,FgMDM
37,9,9,0.98861885,0.90417004,0.8888889,0.88782865,1.1350968,144.0,0.0053172894,3,session_T,22,2,001-2014,FgMDM
38,10,10,0.99054784,0.94755244,0.9444444,0.9443478,0.32839227,144.0,0.0014944607,3,session_E,22,2,001-2014,MDM
39,11,11,0.96045524,0.86263084,0.8541667,0.8533107,0.59892154,144.0,0.002639773,3,session_T,22,2,001-2014,MDM
40,12,12,0.998071,0.9285714,0.9166667,0.91608393,0.6230695,144.0,0.0025604132,3,session_E,22,2,001-2014,TANG+SVM
41,13,13,0.9868827,0.88973534,0.875,0.8738072,1.2109554,144.0,0.004919677,3,session_T,22,2,001-2014,TANG+SVM
42,0,0,0.9918981,0.94582045,0.9444444,0.94440156,182.87576,144.0,0.7249012,4,session_E,22,2,001-2014,ACM+MDM(Grid)
43,1,1,0.8466435,0.803351,0.7986111,0.79782134,385.34842,144.0,1.5216875,4,session_T,22,2,001-2014,ACM+MDM(Grid)
44,2,2,0.99286264,0.9318885,0.9305556,0.93050194,0.83921957,144.0,0.0025632053,4,session_E,22,2,001-2014,Cov+EN
45,3,3,0.8489583,0.7831216,0.7708333,0.7683194,1.5745697,144.0,0.0048302496,4,session_T,22,2,001-2014,Cov+EN
46,4,4,0.9810957,0.86574745,0.8402778,0.8374479,2.0967302,144.0,0.0069431188,4,session_E,22,2,001-2014,CSP+LDA
47,5,5,0.77179784,0.6838611,0.6736111,0.6689979,2.5362053,144.0,0.008225292,4,session_T,22,2,001-2014,CSP+LDA
48,6,6,0.99402004,0.96536756,0.9652778,0.9652761,1068.2472,144.0,4.345578,4,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
49,7,7,0.8777006,0.8130435,0.8125,0.8124186,2165.6833,144.0,6.799996,4,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
50,8,8,0.9918981,0.9044944,0.8819444,0.88027585,0.68137693,144.0,0.0022464183,4,session_E,22,2,001-2014,FgMDM
51,9,9,0.8813657,0.7618182,0.7222222,0.7113071,1.2846789,144.0,0.0042788503,4,session_T,22,2,001-2014,FgMDM
52,10,10,0.98051697,0.93826085,0.9375,0.9374729,0.399956,144.0,0.0012490822,4,session_E,22,2,001-2014,MDM
53,11,11,0.73051697,0.6635394,0.6597222,0.657725,0.7399113,144.0,0.002247446,4,session_T,22,2,001-2014,MDM
54,12,12,0.9774306,0.91698843,0.9166667,0.9166506,0.8202274,144.0,0.0024228229,4,session_E,22,2,001-2014,TANG+SVM
55,13,13,0.91222996,0.8142857,0.8055556,0.8041958,1.5908554,144.0,0.0046753665,4,session_T,22,2,001-2014,TANG+SVM
56,0,0,0.9523534,0.80007577,0.7291667,0.7121624,187.69923,144.0,0.7278723,5,session_E,22,2,001-2014,ACM+MDM(Grid)
57,1,1,0.900463,0.8333333,0.75,0.73333335,389.36017,144.0,1.5019004,5,session_T,22,2,001-2014,ACM+MDM(Grid)
58,2,2,0.81790125,0.75077397,0.75,0.74980694,0.8495631,144.0,0.0024553551,5,session_E,22,2,001-2014,Cov+EN
59,3,3,0.78742284,0.7592593,0.6944444,0.67407405,1.6210611,144.0,0.004730311,5,session_T,22,2,001-2014,Cov+EN
60,4,4,0.5920139,0.5555556,0.5416667,0.51111114,2.2208643,144.0,0.007060432,5,session_E,22,2,001-2014,CSP+LDA
61,5,5,0.6018519,0.68118465,0.5902778,0.53151363,2.658254,144.0,0.008278915,5,session_T,22,2,001-2014,CSP+LDA
62,6,6,0.95987654,0.8944805,0.875,0.8734375,1080.4808,144.0,4.3029137,5,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
63,7,7,0.9583333,0.85294116,0.7916667,0.78221416,2146.9934,144.0,6.5581703,5,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
64,8,8,0.8049769,0.7309543,0.7222222,0.7195716,0.65860415,144.0,0.0021205049,5,session_E,22,2,001-2014,FgMDM
65,9,9,0.7743056,0.7447905,0.7152778,0.7064293,1.2833982,144.0,0.0041236053,5,session_T,22,2,001-2014,FgMDM
66,10,10,0.75733024,0.6567489,0.6458333,0.63955826,0.38267326,144.0,0.0011567571,5,session_E,22,2,001-2014,MDM
67,11,11,0.66358024,0.65749484,0.6319444,0.61638606,0.7471149,144.0,0.0021855251,5,session_T,22,2,001-2014,MDM
68,12,12,0.80362654,0.75520945,0.7291667,0.72207654,0.8077655,144.0,0.0023033938,5,session_E,22,2,001-2014,TANG+SVM
69,13,13,0.7771991,0.6818182,0.5555556,0.46218488,1.6217885,144.0,0.004629498,5,session_T,22,2,001-2014,TANG+SVM
70,0,0,0.8443287,0.7483766,0.7361111,0.7328125,149.19675,144.0,0.9867563,6,session_E,22,2,001-2014,ACM+MDM(Grid)
71,1,1,0.83256173,0.75024825,0.6944444,0.6764045,271.69043,144.0,1.7998323,6,session_T,22,2,001-2014,ACM+MDM(Grid)
72,2,2,0.86593366,0.770903,0.75,0.7450826,0.7258575,144.0,0.0030926561,6,session_E,22,2,001-2014,Cov+EN
73,3,3,0.8759645,0.79012203,0.7430556,0.732194,1.3844883,144.0,0.0059500346,6,session_T,22,2,001-2014,Cov+EN
74,4,4,0.7783565,0.7352941,0.6944444,0.68058074,2.2662494,144.0,0.013165678,6,session_E,22,2,001-2014,CSP+LDA
75,5,5,0.74170524,0.7290909,0.6944444,0.68243784,2.9398355,144.0,0.01657637,6,session_T,22,2,001-2014,CSP+LDA
76,6,6,0.93094134,0.83418924,0.8263889,0.8253699,596.0733,144.0,3.9230187,6,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
77,7,7,0.90200615,0.8079623,0.7708333,0.7637114,1186.1442,144.0,7.8866463,6,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
78,8,8,0.8751929,0.7751323,0.7708333,0.76993465,0.59179926,144.0,0.0038484782,6,session_E,22,2,001-2014,FgMDM
79,9,9,0.8640046,0.7716493,0.6458333,0.5994546,2.1310377,144.0,0.012971465,6,session_T,22,2,001-2014,FgMDM
80,10,10,0.7629244,0.66049623,0.6597222,0.6593115,0.3483386,144.0,0.0022229908,6,session_E,22,2,001-2014,MDM
81,11,11,0.732446,0.6669691,0.6597222,0.65598947,0.65115666,144.0,0.0040642153,6,session_T,22,2,001-2014,MDM
82,12,12,0.86844134,0.75714284,0.75,0.74825174,0.65401864,144.0,0.0038365507,6,session_E,22,2,001-2014,TANG+SVM
83,13,13,0.8759645,0.82327884,0.7708333,0.761146,1.2650828,144.0,0.0073378417,6,session_T,22,2,001-2014,TANG+SVM
84,0,0,1.0,0.98,0.9791667,0.9791576,107.95344,144.0,0.69796264,7,session_E,22,2,001-2014,ACM+MDM(Grid)
85,1,1,0.99054784,0.91622573,0.9097222,0.9093682,212.12495,144.0,1.3870747,7,session_T,22,2,001-2014,ACM+MDM(Grid)
86,2,2,0.9988426,0.9736842,0.9722222,0.97220075,0.7039566,144.0,0.0043591484,7,session_E,22,2,001-2014,Cov+EN
87,3,3,0.99286264,0.9195141,0.9097222,0.9091923,1.3846958,144.0,0.00862002,7,session_T,22,2,001-2014,Cov+EN
88,4,4,0.9986497,0.93373495,0.9236111,0.92316276,2.2832556,144.0,0.015291967,7,session_E,22,2,001-2014,CSP+LDA
89,5,5,0.9930556,0.9583333,0.9583333,0.9583333,2.9064174,144.0,0.019266497,7,session_T,22,2,001-2014,CSP+LDA
90,6,6,1.0,0.9931507,0.9930556,0.9930552,583.1392,144.0,3.9138672,7,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
91,7,7,0.9990355,0.97258687,0.9722222,0.97221684,1247.6199,144.0,8.370884,7,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
92,8,8,0.9992284,0.97258687,0.9722222,0.97221684,0.59800386,144.0,0.0038456968,7,session_E,22,2,001-2014,FgMDM
93,9,9,0.98881173,0.89927405,0.8819444,0.8806494,1.1852684,144.0,0.00765454,7,session_T,22,2,001-2014,FgMDM
94,10,10,0.998071,0.9285714,0.9166667,0.91608393,0.3419013,144.0,0.002174201,7,session_E,22,2,001-2014,MDM
95,11,11,0.9834105,0.8553411,0.8125,0.806673,0.646569,144.0,0.004021287,7,session_T,22,2,001-2014,MDM
96,12,12,0.99691355,0.96153843,0.9583333,0.9582609,0.61284494,144.0,0.0037927274,7,session_E,22,2,001-2014,TANG+SVM
97,13,13,0.9953704,0.90909094,0.8888889,0.8875,1.2130399,144.0,0.007460848,7,session_T,22,2,001-2014,TANG+SVM
98,0,0,0.9855324,0.95357627,0.9513889,0.9513302,236.05284,144.0,2.7050695,8,session_E,22,2,001-2014,ACM+MDM(Grid)
99,1,1,0.97935957,0.9396201,0.9375,0.93742454,407.38263,144.0,4.6740327,8,session_T,22,2,001-2014,ACM+MDM(Grid)
100,2,2,0.96431327,0.9052933,0.8958333,0.89522195,1.0251422,144.0,0.012951385,8,session_E,22,2,001-2014,Cov+EN
101,3,3,0.9712577,0.86574745,0.8402778,0.8374479,1.8339868,144.0,0.023177074,8,session_T,22,2,001-2014,Cov+EN
102,4,4,0.92785496,0.84747475,0.7986111,0.79127306,3.723768,144.0,0.04762793,8,session_E,22,2,001-2014,CSP+LDA
103,5,5,0.96373457,0.8396226,0.7638889,0.7499489,4.6178713,144.0,0.059062347,8,session_T,22,2,001-2014,CSP+LDA
104,6,6,0.99054784,0.90909094,0.8888889,0.8875,638.2639,144.0,7.797394,8,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
105,7,7,0.9818673,0.91622573,0.9097222,0.9093682,1284.1273,144.0,15.3851595,8,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
106,8,8,0.97646606,0.9021164,0.8958333,0.89542484,1.2290735,144.0,0.014056447,8,session_E,22,2,001-2014,FgMDM
107,9,9,0.95852625,0.861204,0.8333333,0.83005506,2.4332223,144.0,0.027078746,8,session_T,22,2,001-2014,FgMDM
108,10,10,0.9646991,0.9142857,0.9027778,0.9020979,0.5834875,144.0,0.006151443,8,session_E,22,2,001-2014,MDM
109,11,11,0.9594907,0.9040248,0.9027778,0.9027027,0.9982374,144.0,0.010484789,8,session_T,22,2,001-2014,MDM
110,12,12,0.9810957,0.86348015,0.8263889,0.8218439,0.9232471,144.0,0.011688079,8,session_E,22,2,001-2014,TANG+SVM
111,13,13,0.9652778,0.9078125,0.9027778,0.9024768,1.6154106,144.0,0.020481251,8,session_T,22,2,001-2014,TANG+SVM
112,0,0,0.86554784,0.75714284,0.75,0.74825174,239.488,144.0,0.6028381,9,session_E,22,2,001-2014,ACM+MDM(Grid)
113,1,1,0.8489583,0.7911051,0.7708333,0.766773,486.53647,144.0,1.2255588,9,session_T,22,2,001-2014,ACM+MDM(Grid)
114,2,2,0.94405866,0.8319968,0.8194444,0.81772155,1.1124234,144.0,0.0024990714,9,session_E,22,2,001-2014,Cov+EN
115,3,3,0.8435571,0.79740363,0.7916667,0.7906571,2.3062851,144.0,0.0051821666,9,session_T,22,2,001-2014,Cov+EN
116,4,4,0.9342207,0.88201815,0.8819444,0.88193876,3.38952,144.0,0.00868107,9,session_E,22,2,001-2014,CSP+LDA
117,5,5,0.8109568,0.78571427,0.7777778,0.7762238,4.359143,144.0,0.010875411,9,session_T,22,2,001-2014,CSP+LDA
118,6,6,0.91280866,0.82797056,0.8263889,0.8261793,1058.4807,144.0,2.7509034,9,session_E,22,2,001-2014,ACM+TGSP+SVM(Grid)
119,7,7,0.8541667,0.82572776,0.8194444,0.8185695,2162.342,144.0,5.6155095,9,session_T,22,2,001-2014,ACM+TGSP+SVM(Grid)
120,8,8,0.9226466,0.7960152,0.7708333,0.76585364,1.051671,144.0,0.0025521594,9,session_E,22,2,001-2014,FgMDM
121,9,9,0.81963736,0.7671875,0.7638889,0.7631579,2.078399,144.0,0.005048533,9,session_T,22,2,001-2014,FgMDM
122,10,10,0.8865741,0.7814815,0.7638889,0.7601411,0.6006117,144.0,0.0013994427,9,session_E,22,2,001-2014,MDM
123,11,11,0.84818673,0.8170784,0.7847222,0.7790865,1.123913,144.0,0.0025480615,9,session_T,22,2,001-2014,MDM
124,12,12,0.93248457,0.7868233,0.7708333,0.7675943,1.0742142,144.0,0.0023459187,9,session_E,22,2,001-2014,TANG+SVM
125,13,13,0.8472222,0.83131313,0.7847222,0.7768781,2.0985882,144.0,0.004522404,9,session_T,22,2,001-2014,TANG+SVM
126,0,0,0.9992284,0.96753246,0.9652778,0.9652359,166.17381,144.0,0.26192355,1,session_E,22,2,001-2014,ACM+MDM(MDOP)
127,1,1,0.9851466,0.9318885,0.9305556,0.93050194,330.13287,144.0,0.5835408,1,session_T,22,2,001-2014,ACM+MDM(MDOP)
128,2,2,0.9996142,0.96153843,0.9583333,0.9582609,178.04504,144.0,0.31279552,1,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
129,3,3,0.99151236,0.94755244,0.9444444,0.9443478,343.35223,144.0,0.6361991,1,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
130,0,0,0.9664352,0.9078125,0.9027778,0.9024768,165.80597,144.0,0.27717763,2,session_E,22,2,001-2014,ACM+MDM(MDOP)
131,1,1,0.9857253,0.9447876,0.9444444,0.94443375,323.61255,144.0,0.57848763,2,session_T,22,2,001-2014,ACM+MDM(MDOP)
132,2,2,0.9662423,0.8996105,0.8958333,0.8955866,178.81476,144.0,0.3267711,2,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
133,3,3,0.9866898,0.89653814,0.8888889,0.8883504,337.17578,144.0,0.6277909,2,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
134,0,0,0.99112654,0.9556962,0.9513889,0.95127374,1497.0706,144.0,15.325605,3,session_E,22,2,001-2014,ACM+MDM(MDOP)
135,1,1,0.9675926,0.8768517,0.8680556,0.8672811,2953.51,144.0,18.694,3,session_T,22,2,001-2014,ACM+MDM(MDOP)
136,2,2,0.9988426,0.9556962,0.9513889,0.95127374,1511.9606,144.0,10.429884,3,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
137,3,3,0.984375,0.88973534,0.875,0.8738072,2961.6184,144.0,13.800221,3,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
138,0,0,0.9870756,0.9375844,0.9375,0.93749696,1502.1699,144.0,15.967835,4,session_E,22,2,001-2014,ACM+MDM(MDOP)
139,1,1,0.7826003,0.74269664,0.7291667,0.7253387,2958.2915,144.0,19.400726,4,session_T,22,2,001-2014,ACM+MDM(MDOP)
140,2,2,0.9884259,0.9318885,0.9305556,0.93050194,1517.9218,144.0,18.157928,4,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
141,3,3,0.82195216,0.7504744,0.7291667,0.7232816,2975.745,144.0,21.594542,4,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
142,0,0,0.8009259,0.7184874,0.6805556,0.6660617,125.09385,144.0,0.43423605,5,session_E,22,2,001-2014,ACM+MDM(MDOP)
143,1,1,0.70910496,0.725,0.625,0.578125,247.97482,144.0,0.89529467,5,session_T,22,2,001-2014,ACM+MDM(MDOP)
144,2,2,0.8101852,0.74384236,0.6527778,0.61702126,139.06076,144.0,0.45832714,5,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
145,3,3,0.7297454,0.74186045,0.5902778,0.51415336,264.75995,144.0,0.9282687,5,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
146,0,0,0.8362269,0.76666665,0.75,0.74603176,139.99934,144.0,1.7922271,6,session_E,22,2,001-2014,ACM+MDM(MDOP)
147,1,1,0.8152006,0.7290909,0.6944444,0.68243784,275.87524,144.0,3.4008036,6,session_T,22,2,001-2014,ACM+MDM(MDOP)
148,2,2,0.86554784,0.77617663,0.7569444,0.75263804,150.02425,144.0,1.9335437,6,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
149,3,3,0.8425926,0.7555457,0.7222222,0.7128614,284.9495,144.0,3.5375893,6,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
150,0,0,0.9998071,0.96153843,0.9583333,0.9582609,122.59123,144.0,0.42786005,7,session_E,22,2,001-2014,ACM+MDM(MDOP)
151,1,1,0.9982639,0.9556962,0.9513889,0.95127374,248.54614,144.0,0.8983384,7,session_T,22,2,001-2014,ACM+MDM(MDOP)
152,2,2,1.0,0.9736842,0.9722222,0.97220075,131.77258,144.0,0.44519284,7,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
153,3,3,0.9992284,0.9736842,0.9722222,0.97220075,257.61304,144.0,0.9181575,7,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
154,0,0,0.9685571,0.88201815,0.8819444,0.88193876,166.96518,144.0,0.27640086,8,session_E,22,2,001-2014,ACM+MDM(MDOP)
155,1,1,0.97492284,0.9195804,0.9166667,0.9165217,335.8235,144.0,0.6061509,8,session_T,22,2,001-2014,ACM+MDM(MDOP)
156,2,2,0.98070985,0.9136319,0.9097222,0.9095084,178.98431,144.0,0.327935,8,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
157,3,3,0.98051697,0.9447876,0.9444444,0.94443375,347.84366,144.0,0.65734804,8,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
158,0,0,0.8680556,0.7463197,0.7291667,0.7243681,173.9174,144.0,0.2947427,9,session_E,22,2,001-2014,ACM+MDM(MDOP)
159,1,1,0.8410494,0.7960152,0.7708333,0.76585364,346.8227,144.0,0.63592064,9,session_T,22,2,001-2014,ACM+MDM(MDOP)
160,2,2,0.9056713,0.79106385,0.7638889,0.7582461,186.49718,144.0,0.3305962,9,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
161,3,3,0.83487654,0.7976407,0.7847222,0.7823607,361.74332,144.0,0.6740732,9,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
162,0,0,0.9976852,0.25,0.5,0.33333334,83.88649,144.0,0.20436378,1,session_E,22,2,001-2014,EEGNet_8_2
163,1,1,0.97781634,0.9444444,0.9375,0.9372549,299.94083,144.0,0.74041545,1,session_T,22,2,001-2014,EEGNet_8_2
164,2,2,0.9996142,0.802521,0.6736111,0.6346953,95.52222,144.0,0.23512381,1,session_E,22,2,001-2014,DeepConvNet
165,3,3,0.9878472,0.94755244,0.9444444,0.9443478,326.44733,144.0,0.8059813,1,session_T,22,2,001-2014,DeepConvNet
166,4,4,0.9996142,0.9931507,0.9930556,0.9930552,111.16559,144.0,0.27628165,1,session_E,22,2,001-2014,ShallowConvNet
167,5,5,0.984375,0.93373495,0.9236111,0.92316276,225.0585,144.0,0.56139505,1,session_T,22,2,001-2014,ShallowConvNet
168,0,0,0.9564043,0.89009285,0.8888889,0.88880306,136.1406,144.0,0.36360922,2,session_E,22,2,001-2014,EEGNet_8_2
169,1,1,0.9868827,0.9318885,0.9305556,0.93050194,272.69305,144.0,0.7368508,2,session_T,22,2,001-2014,EEGNet_8_2
170,2,2,0.91184413,0.25,0.5,0.33333334,52.03507,144.0,0.13284875,2,session_E,22,2,001-2014,DeepConvNet
171,3,3,0.84008485,0.25,0.5,0.33333334,106.89212,144.0,0.27404076,2,session_T,22,2,001-2014,DeepConvNet
172,4,4,0.9689429,0.9104348,0.9097222,0.90968305,230.43987,144.0,0.5831132,2,session_E,22,2,001-2014,ShallowConvNet
173,5,5,0.97762346,0.9276534,0.9236111,0.92343014,326.13544,144.0,0.837363,2,session_T,22,2,001-2014,ShallowConvNet
174,0,0,1.0,0.93373495,0.9236111,0.92316276,110.08518,144.0,0.2946421,3,session_E,22,2,001-2014,EEGNet_8_2
175,1,1,0.9924769,0.95868725,0.9583333,0.95832527,236.72177,144.0,0.61554956,3,session_T,22,2,001-2014,EEGNet_8_2
176,2,2,0.9884259,0.25,0.5,0.33333334,57.59989,144.0,0.15636986,3,session_E,22,2,001-2014,DeepConvNet
177,3,3,0.9876543,0.25,0.5,0.33333334,128.55481,144.0,0.34877402,3,session_T,22,2,001-2014,DeepConvNet
178,4,4,0.9998071,0.9044944,0.8819444,0.88027585,230.2025,144.0,0.58257204,3,session_E,22,2,001-2014,ShallowConvNet
179,5,5,0.9959491,0.94755244,0.9444444,0.9443478,493.55103,144.0,1.2683091,3,session_T,22,2,001-2014,ShallowConvNet
180,0,0,0.7887731,0.70173913,0.7013889,0.70125926,69.23982,144.0,0.11639459,4,session_E,22,2,001-2014,EEGNet_8_2
181,1,1,0.8566744,0.77730596,0.7708333,0.7694882,183.73341,144.0,0.30719066,4,session_T,22,2,001-2014,EEGNet_8_2
182,2,2,0.94174385,0.79145426,0.6875,0.65690684,77.63085,144.0,0.15206735,4,session_E,22,2,001-2014,DeepConvNet
183,3,3,0.87741125,0.7373626,0.5833333,0.50264794,137.12259,144.0,0.2592622,4,session_T,22,2,001-2014,DeepConvNet
184,4,4,0.9421296,0.8547826,0.8541667,0.8541033,100.36715,144.0,0.196068,4,session_E,22,2,001-2014,ShallowConvNet
185,5,5,0.9072145,0.84119785,0.8263889,0.8244844,397.37094,144.0,0.78484535,4,session_T,22,2,001-2014,ShallowConvNet
186,0,0,0.49575618,0.5,0.5,0.44317937,55.647034,144.0,0.109706625,5,session_E,22,2,001-2014,EEGNet_8_2
187,1,1,0.56963736,0.56619,0.5625,0.5563163,132.27301,144.0,0.25765878,5,session_T,22,2,001-2014,EEGNet_8_2
188,2,2,0.58179015,0.5851064,0.5069444,0.36,100.28737,144.0,0.19994095,5,session_E,22,2,001-2014,DeepConvNet
189,3,3,0.55806327,0.25,0.5,0.33333334,167.2269,144.0,0.3336633,5,session_T,22,2,001-2014,DeepConvNet
190,4,4,0.75964504,0.68111455,0.6805556,0.6803089,102.98176,144.0,0.20069645,5,session_E,22,2,001-2014,ShallowConvNet
191,5,5,0.69579476,0.6544433,0.6458333,0.6408275,198.2971,144.0,0.38861042,5,session_T,22,2,001-2014,ShallowConvNet
192,0,0,0.6834491,0.6472727,0.625,0.61026466,93.01689,144.0,0.17957515,6,session_E,22,2,001-2014,EEGNet_8_2
193,1,1,0.7019676,0.6277641,0.5902778,0.5578454,267.44867,144.0,0.505266,6,session_T,22,2,001-2014,EEGNet_8_2
194,2,2,0.68306327,0.6985294,0.5416667,0.42884615,78.902596,144.0,0.15641506,6,session_E,22,2,001-2014,DeepConvNet
195,3,3,0.6869213,0.62787116,0.6041667,0.5849305,175.91586,144.0,0.34858975,6,session_T,22,2,001-2014,DeepConvNet
